"Name","Amount","Casts","Avg Cast","Hits","Avg Hit","Crit %","Uptime %","DPS",""
"Execute","208575$19.54%208.6k","-","-","31","6.7k","64.5%","-","1,248.2",""
"Deep Wounds","193376$18.11%193.4k","-","-","120","1.6k","-","96.49%","1,157.2",""
"Melee","169291$15.86%169.3k","51","3.3k","51","3.3k","47.1%","-","1,013.1",""
"Overpower","110353$10.34%110.4k","18","6.1k","18","6.1k","100.0%","-","660.4",""
"Slam","99730$9.34%99.7k","24","4.2k","24","4.2k","41.7%","-","596.8",""
"Mortal Strike","76907$7.20%76.9k","16","4.8k","16","4.8k","50.0%","74.92%","460.2",""
"Heroic Strike","76639$7.18%76.6k","15","5.1k","15","5.1k","66.7%","-","458.6",""
"Rend","53554$5.02%53.6k","7","7.7k","48","1.1k","-","87.98%","320.5",""
"Bladestorm","49311$4.62%49.3k","-","-","14","3.5k","35.7%","-","295.1",""
"Whirlwind","49311$4.62%49.3k","14","3.5k","14","3.5k","35.7%","-","295.1",""
"Heroic Throw","20926$1.96%20.9k","3","7.0k","3","7.0k","100.0%","-","125.2",""
"Shattering Throw","4731$0.44%4.7k","1","4.7k","1","4.7k","100.0%","5.99%","28.3",""
"Saronite Bomb","4276$0.40%4.3k","3","1.4k","3","1.4k","-","-","25.6",""
