"Name","Amount","Casts","Avg Cast","Hits","Avg Hit","Crit %","Uptime %","Miss %","DPS",""
"Shadow Bolt","294997$32.65%295.0k","55","5.4k","55","5.4k","18.2%","-","-","1,835.2",""
"Corruption","244406$27.05%244.4k","3","81.5k","72","3.4k","41.7%","94.45%","-","1,520.5",""
"Drain Soul","141808$15.70%141.8k","4","35.5k","12","11.8k","-","18.37%","-","882.2",""
"Bruumon","81164$8.98%81.2k","154","527.0","153","530.5","11.8%","-","0.65%","504.9",""
"Melee","81164$4.58%41.4k","104","398.2","103","402.0","7.8%","-","0.96%","257.6",""
"Shadow Bite","81164$4.40%39.8k","50","795.1","50","795.1","20.0%","-","-","247.3",""
"Unstable Affliction","68888$7.62%68.9k","6","11.5k","30","2.3k","33.3%","56.02%","-","428.6",""
"Curse of Doom","36583$4.05%36.6k","2","18.3k","2","18.3k","-","74.66%","-","227.6",""
"Haunt","33800$3.74%33.8k","12","2.8k","12","2.8k","16.7%","87.31%","-","210.3",""
"Death Coil","1852$0.20%1.9k","1","1.9k","1","1.9k","-","-","-","11.5",""
