"Name","Amount","Casts","Avg Cast","Hits","Avg Hit","Crit %","Uptime %","Miss %","DPS",""
"Melee","280764$22.46%280.8k","356","788.7","297","945.3","44.1%","-","16.57%","1,849.5",""
"Gravelchomp","206143$16.49%206.1k","280","736.2","268","769.2","17.2%","-","4.29%","1,358.0",""
"Melee","206143$12.94%161.8k","241","671.2","229","706.4","16.6%","-","4.98%","1,065.6",""
"Claw","206143$3.55%44.4k","39","1.1k","39","1.1k","20.5%","-","-","292.4",""
"Summon Gargoyle","174202$13.94%174.2k","1","174.2k","58","3.0k","8.6%","-","4.92%","1,147.6",""
"Gargoyle Strike","174202$13.42%167.7k","53","3.2k","51","3.3k","7.8%","-","3.77%","1,104.8",""
"Melee","174202$0.52%6.5k","8","810.5","7","926.3","14.3%","-","12.50%","42.7",""
"Death and Decay","96235$7.70%96.2k","-","-","96","1.0k","25.0%","-","1.03%","633.9",""
"Death and Decay","96235$7.70%96.2k","-","-","96","1.0k","25.0%","-","1.03%","633.9",""
"Army of the Dead","90326$7.23%90.3k","1","90.3k","595","151.8","6.7%","-","5.41%","595.0",""
"Melee","90326$6.16%77.0k","564","136.5","535","143.9","7.1%","-","5.14%","507.2",""
"Claw","90326$1.07%13.3k","65","205.1","60","222.2","3.3%","-","7.69%","87.8",""
"Death Coil","74260$5.94%74.3k","-","-","18","4.1k","44.4%","-","-","489.2",""
"Death Coil","74260$5.94%74.3k","-","-","18","4.1k","44.4%","-","-","489.2",""
"Necrosis","52397$4.19%52.4k","-","-","297","176.4","-","-","-","345.2",""
"Frost Fever","50142$4.01%50.1k","-","-","40","1.3k","-","96.99%","-","330.3",""
"Frost Fever","50142$4.01%50.1k","-","-","40","1.3k","-","96.99%","-","330.3",""
"Icy Touch","47044$3.76%47.0k","20","2.4k","20","2.4k","30.0%","-","-","309.9",""
"Blood Plague","44146$3.53%44.1k","-","-","42","1.1k","-","93.97%","-","290.8",""
"Wandering Plague","30591$2.45%30.6k","-","-","27","1.1k","-","-","-","201.5",""
"Blood-Caked Strike","25327$2.03%25.3k","-","-","48","527.6","-","-","-","166.8",""
"Blood-Caked Strike","18189$1.46%18.2k","-","-","55","330.7","-","-","-","119.8",""
"Blood Strike","16550$1.32%16.6k","12","1.4k","11","1.5k","36.4%","-","8.33%","109.0",""
"Blood Strike","16550$1.32%16.6k","12","1.4k","11","1.5k","36.4%","-","8.33%","109.0",""
"Plague Strike","15946$1.28%15.9k","15","1.1k","15","1.1k","26.7%","-","-","105.0",""
"Plague Strike","15946$1.28%15.9k","15","1.1k","15","1.1k","26.7%","-","-","105.0",""
"Blood Boil","13654$1.09%13.7k","7","2.0k","7","2.0k","28.6%","-","-","89.9",""
"Unholy Blight","6605$0.53%6.6k","-","-","117","56.5","-","81.88%","-","43.5",""
"Saronite Bomb","4031$0.32%4.0k","2","2.0k","2","2.0k","-","-","-","26.6",""
"Global Thermal Sapper Charge","3383$0.27%3.4k","1","3.4k","1","3.4k","-","-","-","22.3",""
