"Name","Amount","Casts","Avg Cast","Hits","Avg Hit","Crit %","Uptime %","Miss %","DPS",""
"Starfire","197574$36.37%197.6k","14","14.1k","14","14.1k","100.0%","-","-","3,751.0",""
"Wrath","147356$27.13%147.4k","20","7.4k","20","7.4k","45.0%","-","-","2,797.6",""
"Starfall","67188$12.37%67.2k","1","67.2k","20","3.4k","40.0%","-","-","1,275.6",""
"Force of Nature","46850$8.63%46.9k","1","46.9k","74","633.1","5.4%","-","8.64%","889.5",""
"Melee","46850$8.53%46.4k","79","586.7","72","643.8","5.6%","-","8.86%","880.0",""
"Retribution Aura","46850$0.09%498.0","1","498.0","2","249.0","-","-","-","9.5",""
"Starfall","42529$7.83%42.5k","1","43.1k","39","1.1k","35.9%","-","2.50%","807.4",""
"Insect Swarm","16795$3.09%16.8k","2","8.4k","14","1.2k","-","53.13%","-","318.9",""
"Moonfire","16572$3.05%16.6k","3","1.9k   (3.7k)","3   (14)","1.9k   (782.5)","66.7%","84.49%","-","314.6",""
"Typhoon","8296$1.53%8.3k","1","8.3k","3","2.8k","-","-","-","157.5",""
