"Name","Amount","Casts","Avg Cast","Hits","Avg Hit","Crit %","Uptime %","DPS",""
"Heroic Strike","165403$20.03%165.4k","35","4.7k","35","4.7k","65.7%","-","1,029.0",""
"Slam","145839$17.66%145.8k","36","4.1k","36","4.1k","44.4%","-","907.3",""
"Deep Wounds","144889$17.55%144.9k","-","-","115","1.3k","-","95.73%","901.4",""
"Overpower","133160$16.13%133.2k","23","5.8k","23","5.8k","100.0%","-","828.4",""
"Melee","75627$9.16%75.6k","25","3.0k","25","3.0k","44.0%","-","470.5",""
"Execute","70941$8.59%70.9k","-","-","15","4.7k","46.7%","-","441.3",""
"Rend","47821$5.79%47.8k","8","6.0k","48","996.3","-","96.82%","297.5",""
"Bladestorm","36533$4.42%36.5k","-","-","7","5.2k","71.4%","-","227.3",""
"Whirlwind","36533$4.42%36.5k","7","5.2k","7","5.2k","71.4%","-","227.3",""
"Heroic Throw","5426$0.66%5.4k","2","2.7k","2","2.7k","-","-","33.8",""
