"Name","Amount","Casts","Avg Cast","Hits","Avg Hit","Crit %","Uptime %","Miss %","DPS",""
"Obliterate","267402$31.89%267.4k","31","8.6k","61","4.4k","54.1%","-","1.61%","1,663.5",""
"Obliterate","267402$18.12%151.9k","31","4.9k","30","5.1k","53.3%","-","3.23%","944.9",""
"Obliterate","267402$13.78%115.5k","31","3.7k","31","3.7k","54.8%","-","-","718.6",""
"Frost Strike","175789$20.97%175.8k","32","5.5k","63","2.8k","49.2%","-","1.56%","1,093.6",""
"Frost Strike","175789$12.80%107.3k","32","3.4k","31","3.5k","51.6%","-","3.13%","667.6",""
"Frost Strike","175789$8.17%68.5k","32","2.1k","32","2.1k","46.9%","-","-","426.0",""
"Melee","173891$20.74%173.9k","184","945.1","146","1.2k","33.6%","-","20.65%","1,081.8",""
"Howling Blast","39865$4.75%39.9k","6","6.6k","6","6.6k","66.7%","-","-","248.0",""
"Frost Fever","36656$4.37%36.7k","-","-","50","733.1","-","94.97%","-","228.0",""
"Frost Fever","36656$4.37%36.7k","-","-","50","733.1","-","94.97%","-","228.0",""
"Blood Plague","35305$4.21%35.3k","-","-","49","720.5","-","94.09%","-","219.6",""
"Necrosis","32302$3.85%32.3k","-","-","146","221.2","-","-","-","201.0",""
"Raise Dead","26165$3.12%26.2k","1","26.2k","61","428.9","6.6%","-","-","162.8",""
"Melee","26165$2.18%18.3k","48","380.6","48","380.6","6.3%","-","-","113.6",""
"Claw","26165$0.94%7.9k","13","607.5","13","607.5","7.7%","-","-","49.1",""
"Blood Strike","17220$2.05%17.2k","5","3.4k","10","1.7k","60.0%","-","-","107.1",""
"Blood Strike","17220$1.24%10.4k","5","2.1k","5","2.1k","60.0%","-","-","64.5",""
"Blood Strike","17220$0.82%6.9k","5","1.4k","5","1.4k","60.0%","-","-","42.6",""
"Blood-Caked Strike","13957$1.66%14.0k","-","-","20","697.9","-","-","-","86.8",""
"Blood-Caked Strike","12057$1.44%12.1k","-","-","27","446.6","-","-","-","75.0",""
"Icy Touch","3407$0.41%3.4k","2","1.7k","2","1.7k","50.0%","-","-","21.2",""
"Plague Strike","2949$0.35%2.9k","2","1.5k","4","737.3","25.0%","-","-","18.3",""
"Plague Strike","2949$0.18%1.5k","2","744.0","2","744.0","-","-","-","9.3",""
"Plague Strike","2949$0.17%1.5k","2","730.5","2","730.5","50.0%","-","-","9.1",""
"Razor Frost","1443$0.17%1.4k","-","-","143","10.1","-","-","-","9.0",""
