"Name","Amount","Casts","Avg Cast","Hits","Avg Hit","Crit %","Uptime %","Miss %","DPS",""
"Shred","279012$30.44%279.0k","36","7.8k","35","8.0k","68.6%","-","2.78%","1,835.8",""
"Melee","257979$28.15%258.0k","176","1.5k","172","1.5k","61.6%","-","2.27%","1,697.4",""
"Rip","193467$21.11%193.5k","5","9.7k   (28.9k)","13   (44)","3.7k   (3.3k)","53.8%   (38.6%)","75.34%","-","1,272.9",""
"Rake","101788$11.11%101.8k","15","2.4k   (4.4k)","23   (28)","1.6k   (2.3k)","30.4%","77.52%","4.17%  	(-)","669.7",""
"Maul","42391$4.63%42.4k","8","5.3k","8","5.3k","50.0%","-","-","278.9",""
"Ferocious Bite","18819$2.05%18.8k","2","9.4k","2","9.4k","50.0%","-","-","123.8",""
"Mangle (Bear)","11469$1.25%11.5k","3","3.8k","3","3.8k","66.7%","67.76%","-","75.5",""
"Lacerate","7016$0.77%7.0k","3","774.7   (1.6k)","8   (10)","290.5   (469.2)","25.0%   (80.0%)","29.61%","-","46.2",""
"Mangle (Cat)","4420$0.48%4.4k","1","4.4k","1","4.4k","100.0%","23.78%","-","29.1",""
"Retribution Aura","176$0.02%176.0","-","-","1","176.0","-","-","-","1.2",""
