"Name","Amount","Casts","Avg Cast","Hits","Avg Hit","Crit %","Uptime %","Miss %","DPS",""
"Frostfire Bolt","565620$51.02%565.6k","63","9.0k   (12.8)","62   (20)","9.1k   (40.5)","66.1%","98.58%","-","3,469.7",""
"Ignite","253539$22.87%253.5k","-","-","46","5.5k","-","91.07%","-","1,555.3",""
"Ignite","253539$22.87%253.5k","-","-","46","5.5k","-","91.07%","-","1,555.3",""
"Pyroblast","207028$18.67%207.0k","18","9.7k   (1.8k)","18   (41)","9.7k   (807.8)","66.7%","89.46%","-","1,270.0",""
"Living Bomb","38487$3.47%38.5k","7","5.5k","28","1.4k","42.9%","51.54%","-","236.1",""
"Living Bomb","22080$1.99%22.1k","-","-","7","3.2k","42.9%","-","-","135.4",""
"Mirror Image","10392$0.94%10.4k","1","10.4k","23","451.8","21.7%","-","4.17%","63.7",""
"Frostbolt","10392$0.94%10.4k","24","433.0","23","451.8","21.7%","-","4.17%","63.7",""
"Fire Blast","6157$0.56%6.2k","1","6.2k","1","6.2k","100.0%","-","-","37.8",""
"Scorch","5368$0.48%5.4k","2","2.7k","2","2.7k","50.0%","-","-","32.9",""
