"Name","Amount","Casts","Avg Cast","Hits","Avg Hit","Crit %","Uptime %","DPS",""
"Fireball","455773$47.43%455.8k","50","9.1k","49","9.3k","63.3%","-","2,835.4",""
"Ignite","185741$19.33%185.7k","-","-","41","4.5k","-","84.64%","1,155.5",""
"Ignite","185741$19.33%185.7k","-","-","41","4.5k","-","84.64%","1,155.5",""
"Pyroblast","167309$17.41%167.3k","15","9.2k   (2.0k)","15   (34)","9.2k   (861.5)","46.7%","75.64%","1,040.8",""
"Living Bomb","69570$7.24%69.6k","11","6.3k","43","1.6k","58.1%","81.39%","432.8",""
"Living Bomb","31162$3.24%31.2k","-","-","10","3.1k","50.0%","-","193.9",""
"Fire Blast","18946$1.97%18.9k","4","4.8k","4","4.8k","100.0%","-","117.9",""
"Scorch","17159$1.79%17.2k","5","3.4k","5","3.4k","60.0%","-","106.7",""
"Mirror Image","15188$1.58%15.2k","1","15.2k","36","421.9","30.6%","-","94.5",""
"Frostbolt","15188$1.16%11.1k","24","464.2","24","464.2","33.3%","-","69.3",""
"Fire Blast","15188$0.42%4.0k","12","337.3","12","337.3","25.0%","-","25.2",""
