"Name","Amount","Casts","Avg Cast","Hits","Avg Hit","Crit %","Uptime %","Miss %","DPS",""
"Melee","184587$24.51%184.6k","282","654.6","221","835.2","32.6%","-","21.63%","1,148.3",""
"Unknown","154487$20.51%154.5k","263","587.4","253","610.6","16.2%","-","3.80%","961.1",""
"Melee","154487$16.84%126.9k","228","556.4","220","576.7","15.9%","-","3.51%","789.2",""
"Claw","154487$3.63%27.4k","32","855.4","30","912.4","16.7%","-","6.25%","170.3",""
"Gnaw","154487$0.03%251.0","3","83.7","3","83.7","33.3%","-","-","1.6",""
"Summon Gargoyle","89469$11.88%89.5k","1","89.5k","35","2.6k","11.4%","-","5.41%","556.6",""
"Gargoyle Strike","89469$11.88%89.5k","35","2.6k","35","2.6k","11.4%","-","-","556.6",""
"Death and Decay","73228$9.72%73.2k","-","-","94","779.0","22.3%","-","6.00%","455.6",""
"Death and Decay","73228$9.72%73.2k","-","-","94","779.0","22.3%","-","6.00%","455.6",""
"Frost Fever","45960$6.10%46.0k","-","-","48","957.5","-","95.55%","-","285.9",""
"Frost Fever","45960$6.10%46.0k","-","-","48","957.5","-","95.55%","-","285.9",""
"Death Coil","42306$5.62%42.3k","-","-","15","2.8k","13.3%","-","-","263.2",""
"Death Coil","42306$5.62%42.3k","-","-","15","2.8k","13.3%","-","-","263.2",""
"Blood Plague","35750$4.75%35.8k","-","-","44","812.5","-","88.31%","-","222.4",""
"Necrosis","34642$4.60%34.6k","-","-","221","156.8","-","-","-","215.5",""
"Icy Touch","19588$2.60%19.6k","14","1.4k","12","1.6k","8.3%","-","14.29%","121.9",""
"Wandering Plague","18084$2.40%18.1k","-","-","23","786.3","-","-","-","112.5",""
"Blood Strike","16085$2.14%16.1k","15","1.1k","14","1.1k","14.3%","-","6.67%","100.1",""
"Blood Strike","16085$2.14%16.1k","15","1.1k","14","1.1k","14.3%","-","6.67%","100.1",""
"Blood-Caked Strike","15040$2.00%15.0k","-","-","23","653.9","-","-","-","93.6",""
"Plague Strike","10762$1.43%10.8k","11","978.4","11","978.4","27.3%","-","-","67.0",""
"Plague Strike","10762$1.43%10.8k","11","978.4","11","978.4","27.3%","-","-","67.0",""
"Blood-Caked Strike","9521$1.26%9.5k","-","-","36","264.5","-","-","2.70%","59.2",""
"Unholy Blight","3617$0.48%3.6k","-","-","106","34.1","-","67.14%","-","22.5",""
