"Name","Amount","Casts","Avg Cast","Hits","Avg Hit","Crit %","Uptime %","Miss %","DPS",""
"Shadow Bolt","346961$27.94%347.0k","50","6.9k","50","6.9k","32.0%","-","-","2,285.6",""
"Corruption","278105$22.40%278.1k","4","66.4k   (3.1k)","69   (3)","3.9k   (4.1k)","39.1%   (66.7%)","95.86%","-","1,832.0",""
"Drain Soul","200840$16.18%200.8k","6","33.5k","14","14.3k","-","18.64%","-","1,323.0",""
"Unstable Affliction","142332$11.46%142.3k","9","2.3k   (13.6k)","5   (38)","4.1k   (3.2k)","100.0%   (50.0%)","85.19%","-","937.6",""
"Zhaadym","86750$6.99%86.8k","108","803.2","107","810.7","17.8%","-","0.93%","571.5",""
"Shadow Bite","86750$3.61%44.8k","42","1.1k","42","1.1k","21.4%","-","-","295.4",""
"Melee","86750$3.38%41.9k","66","635.1","65","644.8","15.4%","-","1.52%","276.1",""
"Inferno","76072$6.13%76.1k","1","76.1k","57","1.3k","1.8%","-","3.39%","501.1",""
"Melee","76072$4.71%58.5k","33","1.8k","31","1.9k","3.2%","-","6.06%","385.1",""
"Immolation","76072$1.42%17.6k","1","17.6k","26","677.7","-","-","-","116.1",""
"Curse of Agony","57437$4.63%57.4k","5","2.5k   (9.0k)","12   (48)","1.0k   (934.6)","-","79.03%","-","378.4",""
"Haunt","45200$3.64%45.2k","14","3.2k","14","3.2k","21.4%","96.32%","-","297.8",""
"Saronite Bomb","4014$0.32%4.0k","3","1.3k","3","1.3k","-","-","-","26.4",""
"Inferno Effect","3954$0.32%4.0k","-","-","1","4.0k","-","-","-","26.0",""
