"Name","Amount","Casts","Avg Cast","Hits","Avg Hit","Crit %","Uptime %","DPS",""
"Explosive Shot","321474$33.62%321.5k","26","12.4k","78","4.1k","69.2%","-","2,391.4",""
"Auto Shot","234375$24.51%234.4k","72","3.3k","72","3.3k","65.3%","-","1,743.5",""
"Explosive Trap Effect","115161$12.04%115.2k","-","-","4   (40)","5.9k   (2.3k)","100.0%   (50.0%)","59.49%","856.7",""
"Steady Shot","103004$10.77%103.0k","36","2.9k","36","2.9k","72.2%","-","766.2",""
"Wolfe (Melee, Bite)","70437$7.37%70.4k","189","372.7","189","372.7","16.4%","-","524.0",""
"Melee","70437$4.75%45.5k","111","409.5","111","409.5","20.7%","-","338.1",""
"Bite","70437$2.61%25.0k","78","320.3","78","320.3","10.3%","-","185.9",""
"Kill Shot","49657$5.19%49.7k","3","16.6k","3","16.6k","100.0%","-","369.4",""
"Multi-Shot","38971$4.08%39.0k","11","3.5k","11","3.5k","45.5%","-","289.9",""
"Serpent Sting","10696$1.12%10.7k","3","3.6k","15","713.1","-","33.53%","79.6",""
"Melee","6340$0.66%6.3k","4","1.9k","4","1.9k","50.0%","-","47.2",""
"Global Thermal Sapper Charge","4366$0.46%4.4k","1","4.4k","1","4.4k","100.0%","-","32.5",""
"Raptor Strike","1638$0.17%1.6k","1","1.6k","1","1.6k","-","-","12.2",""
