"Name","Amount","Casts","Avg Cast","Hits","Avg Hit","Crit %","Uptime %","Miss %","DPS",""
"Explosive Shot","329553$33.29%329.6k","23","14.3k","69","4.8k","81.2%","-","-","2,750.1",""
"Auto Shot","180000$18.18%180.0k","57","3.2k","57","3.2k","57.9%","-","-","1,502.1",""
"Explosive Trap Effect","151100$15.26%151.1k","-","-","5   (46)","5.2k   (2.7k)","80.0%   (67.4%)","78.33%","-","1,260.9",""
"Dahmer (Melee, Bite)","126445$12.77%126.4k","177","714.4","174","726.7","16.1%","-","1.69%","1,055.2",""
"Melee","126445$7.86%77.8k","104","748.0","102","762.7","13.7%","-","1.92%","649.2",""
"Bite","126445$4.91%48.7k","73","666.5","72","675.8","19.4%","-","1.37%","406.0",""
"Steady Shot","73818$7.46%73.8k","27","2.7k","26","2.8k","65.4%","-","-","616.0",""
"Kill Shot","49034$4.95%49.0k","3","16.3k","3","16.3k","100.0%","-","-","409.2",""
"Multi-Shot","38337$3.87%38.3k","9","4.3k","9","4.3k","66.7%","-","-","319.9",""
"Serpent Sting","24271$2.45%24.3k","8","3.0k","33","735.5","-","90.92%","-","202.5",""
"Melee","10300$1.04%10.3k","5","2.1k","5","2.1k","60.0%","-","-","86.0",""
"Global Thermal Sapper Charge","5422$0.55%5.4k","1","5.4k","1","5.4k","100.0%","-","-","45.2",""
"Saronite Bomb","1661$0.17%1.7k","1","1.7k","1","1.7k","-","-","-","13.9",""
